date,TSLA,earnings flag
2015-11-30,-0.2700004577636719,0
2015-12-01,1.3860015869140625,1
2015-12-02,-1.0400009155273438,0
2015-12-03,0.14400100708007812,1
2015-12-04,-0.4659996032714844,0
2015-12-07,0.15000152587890625,1
2015-12-08,-0.8819999694824219,0
2015-12-09,-0.44000244140625,0
2015-12-10,0.5100021362304688,1
2015-12-11,-2.0100021362304688,0
2015-12-14,0.3120002746582031,1
2015-12-15,0.5019989013671875,1
2015-12-16,2.684001922607422,1
2015-12-17,-0.2239990234375,0
2015-12-18,-0.5860023498535156,0
2015-12-21,0.4200019836425781,1
2015-12-22,-0.5219993591308594,0
2015-12-23,-0.0500030517578125,0
2015-12-24,0.17399978637695312,1
2015-12-28,-0.32399749755859375,0
2015-12-29,1.6479988098144531,1
2015-12-30,0.18000030517578125,1
2015-12-31,0.3839988708496094,1
2016-01-04,-3.3199996948242188,0
2016-01-05,0.004001617431640625,1
2016-01-06,-0.8780021667480469,0
2016-01-07,-0.6779975891113281,0
2016-01-08,-0.9300003051757812,0
2016-01-11,-0.6300010681152344,0
2016-01-12,0.4239997863769531,1
2016-01-13,-1.9319992065429688,0
2016-01-14,1.1739997863769531,1
2016-01-15,-0.23799896240234375,0
2016-01-19,-0.0540008544921875,0
2016-01-20,-1.2039985656738281,0
2016-01-21,0.253997802734375,1
2016-01-22,0.5159988403320312,1
2016-01-25,-1.2339973449707031,0
2016-01-26,-0.5639991760253906,0
2016-01-27,-1.0980033874511719,0
2016-01-28,0.3260002136230469,1
2016-01-29,0.3000030517578125,1
2016-02-01,1.1479988098144531,1
2016-02-02,-2.832000732421875,0
2016-02-03,-1.8600006103515625,0
2016-02-04,0.37000274658203125,1
2016-02-05,-2.546001434326172,0
2016-02-08,-2.9220008850097656,0
2016-02-09,0.05200004577636719,1
2016-02-10,-0.9160003662109375,0
2016-02-11,1.3600006103515625,1
2016-02-12,0.11400032043457031,1
2016-02-16,0.8260002136230469,1
2016-02-17,2.7019996643066406,1
2016-02-18,-0.3819999694824219,0
2016-02-19,-0.037998199462890625,0
2016-02-22,2.2319984436035156,1
2016-02-23,-0.10599899291992188,0
2016-02-24,0.3579978942871094,1
2016-02-25,1.6860008239746094,1
2016-02-26,0.582000732421875,1
2016-02-29,0.31800079345703125,1
2016-03-01,-1.1160011291503906,0
2016-03-02,0.3979988098144531,1
2016-03-03,1.4799995422363281,1
2016-03-04,1.0600013732910156,1
2016-03-07,0.8499984741210938,1
2016-03-08,-0.5379981994628906,0
2016-03-09,1.2239990234375,1
2016-03-10,-0.7080001831054688,0
2016-03-11,0.4640007019042969,1
2016-03-14,1.529998779296875,1
2016-03-15,0.63800048828125,1
2016-03-16,0.7180023193359375,1
2016-03-17,0.8899993896484375,1
2016-03-18,1.2719993591308594,1
2016-03-21,1.1160011291503906,1
2016-03-22,-0.8160018920898438,0
2016-03-23,-2.332000732421875,0
2016-03-24,1.0340003967285156,1
2016-03-28,0.5019989013671875,1
2016-03-29,-0.025997161865234375,0
2016-03-30,-0.6480026245117188,0
2016-03-31,0.5760002136230469,1
2016-04-01,1.5640029907226562,1
2016-04-04,1.8799972534179688,1
2016-04-05,1.6960029602050781,1
2016-04-06,1.9899978637695312,1
2016-04-07,-1.6440010070800781,0
2016-04-08,-1.4259986877441406,0
2016-04-11,-0.029998779296875,0
2016-04-12,-0.4200019836425781,0
2016-04-13,1.3419990539550781,1
2016-04-14,-0.53399658203125,0
2016-04-15,0.529998779296875,1
2016-04-18,-0.12599945068359375,0
2016-04-19,-1.302001953125,0
2016-04-20,0.5200004577636719,1
2016-04-21,-0.33599853515625,0
2016-04-22,1.0919990539550781,1
2016-04-25,-0.3860015869140625,0
2016-04-26,0.384002685546875,1
2016-04-27,-0.45400238037109375,0
2016-04-28,-0.7519989013671875,0
2016-04-29,-1.3899993896484375,0
2016-05-02,0.20800018310546875,1
2016-05-03,-1.8959999084472656,0
2016-05-04,-1.9519996643066406,0
2016-05-05,-2.2060012817382812,0
2016-05-06,0.6800003051757812,1
2016-05-09,-1.2019996643066406,0
2016-05-10,-0.046001434326171875,0
2016-05-11,0.0540008544921875,1
2016-05-12,-0.33599853515625,0
2016-05-13,0.06599807739257812,1
2016-05-16,0.1360015869140625,1
2016-05-17,-0.7260017395019531,0
2016-05-18,1.302001953125,1
2016-05-19,0.8079986572265625,1
2016-05-20,1.0139999389648438,1
2016-05-23,-0.8120002746582031,0
2016-05-24,0.3380012512207031,1
2016-05-25,0.3339996337890625,1
2016-05-26,1.1079978942871094,1
2016-05-27,-0.4159965515136719,0
2016-05-31,0.037998199462890625,1
2016-06-01,-0.7340011596679688,0
2016-06-02,-0.11999893188476562,0
2016-06-03,0.006000518798828125,1
2016-06-06,0.3380012512207031,1
2016-06-07,2.3319969177246094,1
2016-06-08,0.6360015869140625,1
2016-06-09,-1.2319984436035156,0
2016-06-10,-2.114002227783203,0
2016-06-13,-0.18399810791015625,0
2016-06-14,-0.582000732421875,0
2016-06-15,0.5480003356933594,1
2016-06-16,0.04599761962890625,1
2016-06-17,-0.49199676513671875,0
2016-06-20,0.8459968566894531,1
2016-06-21,-0.01799774169921875,0
2016-06-22,-4.590000152587891,0
2016-06-23,-0.052001953125,0
2016-06-24,-0.6499977111816406,0
2016-06-27,1.0799980163574219,1
2016-06-28,0.6480026245117188,1
2016-06-29,1.6799964904785156,1
2016-06-30,0.4180030822753906,1
2016-07-01,0.8439979553222656,1
2016-07-05,-0.503997802734375,0
2016-07-06,0.09199905395507812,1
2016-07-07,0.2999992370605469,1
2016-07-08,0.167999267578125,1
2016-07-11,1.6000022888183594,1
2016-07-12,-0.0260009765625,0
2016-07-13,-0.4239997863769531,0
2016-07-14,-0.20000076293945312,0
2016-07-15,-0.2259979248046875,0
2016-07-18,1.1699981689453125,1
2016-07-19,-0.19800186157226562,0
2016-07-20,0.6200027465820312,1
2016-07-21,-1.5720024108886719,0
2016-07-22,0.3540000915527344,1
2016-07-25,1.5480003356933594,1
2016-07-26,-0.09999847412109375,0
2016-07-27,-0.20399856567382812,0
2016-07-28,0.4239997863769531,1
2016-07-29,0.83599853515625,1
2016-08-01,-0.9560012817382812,0
2016-08-02,-0.5620002746582031,0
2016-08-03,-0.2819976806640625,0
2016-08-04,0.9640007019042969,1
2016-08-05,-0.11600112915039062,0
2016-08-08,-0.7740020751953125,0
2016-08-09,0.5840034484863281,1
2016-08-10,-0.6860008239746094,0
2016-08-11,-0.14800262451171875,0
2016-08-12,0.14000320434570312,1
2016-08-15,-0.004001617431640625,0
2016-08-16,-0.3959999084472656,0
2016-08-17,-0.07400131225585938,0
2016-08-18,0.0540008544921875,1
2016-08-19,0.2980003356933594,1
2016-08-22,-0.41400146484375,0
2016-08-23,0.3819999694824219,1
2016-08-24,-0.444000244140625,0
2016-08-25,-0.3319969177246094,0
2016-08-26,-0.194000244140625,0
2016-08-29,-0.9580001831054688,0
2016-08-30,-0.7719993591308594,0
2016-08-31,0.13399887084960938,1
2016-09-01,-2.2480010986328125,0
2016-09-02,-0.5979995727539062,0
2016-09-06,1.0100021362304688,1
2016-09-07,-0.22400283813476562,0
2016-09-08,-0.8699989318847656,0
